year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2016,9,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5093,418,159.99,18.98,106.68,0,132.35,7,12,25934,11645,954,3762,0,9573
2016,10,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5357,420,174.25,3.29,85.36,0,157.1,23,2,25880,10371,125,2888,0,12496
2016,11,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",4896,419,164.39,10.49,102.09,0,142.03,20,2,29742,12403,1261,4549,0,11529
2016,12,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",4977,952,341.03,49.89,281.55,1.42,278.11,57,5,64197,21902,5506,12557,37,24195
2017,1,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",4664,766,237.93,27.76,279.69,1,219.62,18,5,50954,15778,1960,14710,56,18450
2017,2,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",4600,554,169.84,16.36,162.02,0,205.78,22,3,37877,11744,2415,6767,0,16951
2017,3,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5576,744,205.84,13.29,289.83,0,235.04,31,6,55850,16495,731,19250,0,19374
2017,4,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",4788,447,146.27,12.57,139.44,0,148.71,3,11,31939,11167,726,5453,0,14593
2017,5,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5262,565,170.12,12.62,217.29,0,164.97,3,17,39359,14103,811,9987,0,14458
2017,6,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5529,632,180.17,28.16,178.64,0,245.04,15,4,44474,15561,2293,7781,0,18839
2017,7,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5688,765,207.92,35.45,217.04,0,304.59,41,34,58035,16305,3782,10613,0,27335
2017,8,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5784,665,173.27,37.03,232.73,1,220.97,70,22,41162,11511,4781,8521,26,16323
