year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2016,9,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1821,225,89.64,9.17,60.87,0,65.31,7,1,12727,4837,516,1739,0,5635
2016,10,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1959,184,73.94,0.5,40.68,0,68.88,19,0,9895,5205,62,1161,0,3467
2016,11,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1865,196,55.88,6.72,78.18,0,55.22,7,1,10861,3460,443,2848,0,4110
2016,12,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1854,275,107.5,12.46,40.91,0,114.13,14,11,20106,6147,1213,2237,0,10509
2017,1,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1606,240,88.83,8.55,46.93,0,95.68,5,4,15217,5498,567,1754,0,7398
2017,2,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1405,190,62.47,4.63,47.3,0,75.6,4,3,13525,3171,578,2143,0,7633
2017,3,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1773,195,73.72,3.21,42.48,0,75.6,47,6,11357,4617,155,1354,0,5231
2017,4,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1991,251,78.49,8.22,62.53,0,101.76,1,1,14907,3969,580,2661,0,7697
2017,5,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2023,243,71.33,6.19,70.4,0,95.08,2,1,16708,4384,931,2515,0,8878
2017,6,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2177,356,93.42,14.32,116.73,0,131.53,14,9,24415,6104,998,6397,0,10916
2017,7,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2232,397,92.21,14,146.21,0,144.58,29,9,33837,8481,1176,8972,0,15208
2017,8,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2305,324,82.13,19.73,104.94,0,117.21,41,1,21314,5232,1442,5717,0,8923
